timestamp_utc,current_experiment,current_repetition,current_seed,cpu_pct,ram_used_gb,ram_total_gb,disk_free_gb,gpu_name,gpu_temp_c,gpu_power_w,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_error
2026-09-03T16:08:45.025178+00:00,,,,0.0,18.52,30.49,1513.4,NVIDIA GeForce RTX 4060 Ti,36,16.94,13,1977.1,16380.0,
2026-09-03T16:08:55.065887+00:00,01_yolo26_main,1,1,13.3,21.39,30.49,1513.39,NVIDIA GeForce RTX 4060 Ti,39,38.62,2,2682.3,16380.0,
2026-09-03T16:09:05.089837+00:00,01_yolo26_main,1,1,11.0,21.4,30.49,1513.39,NVIDIA GeForce RTX 4060 Ti,50,117.63,92,5414.0,16380.0,
2026-09-03T16:09:15.116989+00:00,01_yolo26_main,1,1,11.6,21.34,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,114.87,90,6279.2,16380.0,
2026-09-03T16:09:25.140857+00:00,01_yolo26_main,1,1,10.8,21.49,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,115.68,93,7058.4,16380.0,
2026-09-03T16:09:35.165831+00:00,01_yolo26_main,1,1,11.3,21.43,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,116.73,93,7061.2,16380.0,
2026-09-03T16:09:45.192861+00:00,01_yolo26_main,1,1,10.8,21.25,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,113.53,92,7060.2,16380.0,
2026-09-03T16:09:55.214733+00:00,01_yolo26_main,1,1,11.2,21.36,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,49,113.46,94,7061.2,16380.0,
2026-09-03T16:10:05.241329+00:00,01_yolo26_main,1,1,11.5,21.32,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,112.24,91,7069.3,16380.0,
2026-09-03T16:10:15.269168+00:00,01_yolo26_main,1,1,10.7,21.42,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,115.97,87,7061.3,16380.0,
2026-09-03T16:10:25.295832+00:00,01_yolo26_main,1,1,11.0,21.49,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,115.28,97,7061.3,16380.0,
2026-09-03T16:10:35.323847+00:00,01_yolo26_main,1,1,11.0,21.54,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,114.6,92,7061.1,16380.0,
2026-09-03T16:10:45.349840+00:00,01_yolo26_main,1,1,11.0,21.56,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,50,113.83,97,7061.1,16380.0,
2026-09-03T16:10:55.377833+00:00,01_yolo26_main,1,1,11.7,21.6,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,49,114.84,93,7070.4,16380.0,
2026-09-03T16:11:05.405089+00:00,01_yolo26_main,1,1,10.7,21.6,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,48,117.33,88,7081.4,16380.0,
2026-09-03T16:11:15.431275+00:00,01_yolo26_main,1,1,10.4,21.66,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,51,115.47,90,7024.5,16380.0,
2026-09-03T16:11:25.450337+00:00,01_yolo26_main,1,1,10.8,21.53,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,51,115.41,88,7024.5,16380.0,
2026-09-03T16:11:35.477021+00:00,01_yolo26_main,1,1,10.6,21.5,30.49,1513.0,NVIDIA GeForce RTX 4060 Ti,51,114.92,93,7024.5,16380.0,
