protocol,method,precision,recall,map50,map50_95
full,Benchnano-seg (YOLO26L-seg),0.7939418094858509,0.5026495079485238,0.4433276499159199,0.2820381646835167
full,Faster R-CNN,0.6123004566644212,0.31014963115523086,0.21388018131256104,0.10404972732067108
full,Mask R-CNN,0.8334728033472804,0.2512613521695257,0.2297409623861313,0.12666921317577362
full,YOLOv10,0.6322117927643787,0.47750110825760095,0.40305680050710024,0.22495298788355195
patches,Benchnano-seg (YOLO26L-seg),0.7016109448349123,0.726255529534218,0.6801449548444505,0.37678987310539913
patches,YOLOv10,0.523876639614443,0.595225520586929,0.4412004007123982,0.24425781129812316
patches,Faster R-CNN,0.529307246059014,0.7655225026939303,0.5846508145332336,0.3180617690086365
patches,Mask R-CNN,0.6301561874249099,0.818678459937565,0.6870560050010681,0.38611117005348206
