config_a,config_b,n_a,n_b,mean_a,mean_b,diff_pp,ci95_diff_pp,t_stat,df_welch,p_value,hedges_g,alpha_corrected,significant_bonferroni,mann_whitney_p_value
Real only LoRA (500M),Real+synthetic LoRA (500M),10,10,0.7024038461538461,0.6798076923076923,2.2596153846153766,"[-1.4218266447740755, 5.9410574140048285]",1.2940137131943905,17.167234380194508,0.21279916630981327,0.5542483904319184,0.016666666666666666,False,
Real only LoRA (500M),Real only LoRA (~2B),10,10,0.7024038461538461,0.7341346153846153,-3.173076923076923,"[-6.309091706258277, -0.037062139895568946]",-2.1264522820788803,17.917586951744088,0.04762179503023755,-0.9107961860489564,0.016666666666666666,False,
Real+synthetic LoRA (500M),Real only LoRA (~2B),10,10,0.6798076923076923,0.7341346153846153,-5.4326923076922995,"[-9.030104924798795, -1.835279690585804]",-3.191162475364369,16.65805406877795,0.005456868526291185,-1.3668299242449675,0.016666666666666666,True,
LoRA,Full fine tuning,10,10,0.8975961538461539,0.8793269230769232,1.8269230769230704,"[-0.0747969592394912, 3.728643113085632]",2.018410560620049,17.98504089129392,0.05871520712308011,0.8645200534180069,0.05,False,0.04010984646878768
