epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,253.399,1.84793,1.77157,0.00221,0.28337,0.35232,0.19407,0.05525,2.50349,2.30785,0.0033,9.80107e-05,9.80107e-05,9.80107e-05
40,259.956,1.85979,1.75687,0.00227,0.27251,0.36807,0.19919,0.06125,2.45637,2.26679,0.00317,9.79054e-05,9.79054e-05,9.79054e-05
41,266.411,1.80493,1.71881,0.00234,0.28453,0.37462,0.21471,0.06292,2.56278,2.15084,0.00333,9.77975e-05,9.77975e-05,9.77975e-05
42,272.862,1.80745,1.7335,0.00215,0.29537,0.36812,0.21633,0.06067,2.59694,2.1624,0.0034,9.7687e-05,9.7687e-05,9.7687e-05
43,279.388,1.78983,1.67413,0.00211,0.28649,0.38525,0.22297,0.0663,2.47407,2.14486,0.00324,9.75738e-05,9.75738e-05,9.75738e-05
44,286.184,1.83202,1.64383,0.0023,0.30854,0.38862,0.22907,0.06194,2.58502,2.09008,0.00347,9.7458e-05,9.7458e-05,9.7458e-05
45,293.778,1.77248,1.61618,0.00226,0.30853,0.3594,0.20934,0.05576,2.61223,2.22975,0.00351,9.73396e-05,9.73396e-05,9.73396e-05
46,300.258,1.80099,1.64503,0.00232,0.31261,0.34715,0.20503,0.05654,2.57759,2.2282,0.00337,9.72186e-05,9.72186e-05,9.72186e-05
47,308.624,1.80362,1.60596,0.00224,0.32267,0.39707,0.23733,0.06712,2.54382,2.11724,0.0033,9.7095e-05,9.7095e-05,9.7095e-05
48,317.451,1.76529,1.51231,0.00214,0.32103,0.43814,0.25942,0.0826,2.39942,2.02291,0.00308,9.69688e-05,9.69688e-05,9.69688e-05
49,326.28,1.81126,1.62412,0.00223,0.34227,0.41023,0.27159,0.0855,2.46711,1.98498,0.00319,9.68399e-05,9.68399e-05,9.68399e-05
50,334.56,1.79675,1.5382,0.00216,0.32804,0.40303,0.23319,0.07058,2.49494,2.15208,0.00321,9.67085e-05,9.67085e-05,9.67085e-05
51,341.134,1.76704,1.49546,0.00234,0.36689,0.3646,0.29972,0.08783,2.62824,2.09658,0.00349,9.65746e-05,9.65746e-05,9.65746e-05
52,348.935,1.75244,1.44542,0.00224,0.38691,0.32979,0.29753,0.08071,2.78644,2.0874,0.00385,9.6438e-05,9.6438e-05,9.6438e-05
53,356.651,1.74741,1.4584,0.00217,0.32037,0.37947,0.24215,0.0673,2.62488,2.1164,0.0035,9.6299e-05,9.6299e-05,9.6299e-05
54,363.165,1.75023,1.4522,0.0023,0.29143,0.35455,0.21887,0.05318,2.79863,2.16663,0.00384,9.61573e-05,9.61573e-05,9.61573e-05
55,372.017,1.75901,1.41093,0.00216,0.33909,0.38686,0.28075,0.08526,2.52798,2.05218,0.00329,9.60131e-05,9.60131e-05,9.60131e-05
56,378.926,1.73974,1.38061,0.00233,0.33169,0.3765,0.25867,0.07079,2.68019,2.11022,0.00363,9.58664e-05,9.58664e-05,9.58664e-05
57,385.445,1.76574,1.48623,0.00215,0.34486,0.35394,0.26172,0.07325,2.64351,2.17317,0.00358,9.57172e-05,9.57172e-05,9.57172e-05
58,391.88,1.78458,1.42927,0.0021,0.37206,0.32223,0.3134,0.09205,2.67687,2.10834,0.00365,9.55655e-05,9.55655e-05,9.55655e-05
59,398.454,1.74867,1.44334,0.00221,0.31393,0.39129,0.25948,0.07209,2.65881,2.15293,0.00358,9.54112e-05,9.54112e-05,9.54112e-05
60,405.332,1.80978,1.45012,0.00222,0.3161,0.39552,0.2439,0.06886,2.56523,2.21289,0.00338,9.52545e-05,9.52545e-05,9.52545e-05
61,411.756,1.76182,1.48574,0.00222,0.3544,0.37416,0.27461,0.07686,2.60257,2.06053,0.00346,9.50953e-05,9.50953e-05,9.50953e-05
62,419.647,1.7894,1.39691,0.00222,0.3,0.37181,0.21722,0.05556,2.69582,2.16673,0.00368,9.49336e-05,9.49336e-05,9.49336e-05
63,426.096,1.80514,1.38874,0.00219,0.31052,0.39278,0.22346,0.06023,2.63603,2.16573,0.0036,9.47695e-05,9.47695e-05,9.47695e-05
64,434.558,1.74031,1.31445,0.00208,0.33422,0.39254,0.24383,0.07052,2.56157,2.11569,0.00341,9.46028e-05,9.46028e-05,9.46028e-05
65,441.086,1.78159,1.36318,0.0022,0.30589,0.3882,0.2243,0.06252,2.63789,2.15986,0.00352,9.44338e-05,9.44338e-05,9.44338e-05
66,447.554,1.73894,1.36885,0.00212,0.30788,0.3709,0.22402,0.06187,2.68358,2.16653,0.00362,9.42623e-05,9.42623e-05,9.42623e-05
67,454.058,1.76655,1.37488,0.00215,0.30037,0.39399,0.23603,0.06773,2.5828,2.16724,0.00341,9.40884e-05,9.40884e-05,9.40884e-05
68,460.583,1.73409,1.33835,0.00214,0.32817,0.35987,0.23876,0.06915,2.53279,2.18743,0.00337,9.39121e-05,9.39121e-05,9.39121e-05
69,468.358,1.78549,1.34547,0.00203,0.3245,0.38537,0.22645,0.06139,2.64303,2.22959,0.00358,9.37334e-05,9.37334e-05,9.37334e-05
70,474.81,1.71592,1.31191,0.00206,0.37372,0.37677,0.26909,0.07662,2.55798,2.22113,0.00344,9.35523e-05,9.35523e-05,9.35523e-05
71,483.341,1.79683,1.36572,0.00211,0.35817,0.40315,0.26374,0.07733,2.51172,2.24671,0.00334,9.33688e-05,9.33688e-05,9.33688e-05
72,489.909,1.70185,1.29824,0.00201,0.30392,0.39311,0.2212,0.05893,2.63,2.40026,0.00356,9.3183e-05,9.3183e-05,9.3183e-05
73,496.316,1.67821,1.24421,0.00207,0.31111,0.37285,0.20886,0.05851,2.63117,2.39703,0.00352,9.29948e-05,9.29948e-05,9.29948e-05
74,502.869,1.74127,1.29677,0.00213,0.37631,0.37891,0.24536,0.06864,2.6443,2.22656,0.0036,9.28042e-05,9.28042e-05,9.28042e-05
75,509.279,1.71535,1.2827,0.00218,0.31562,0.36043,0.21325,0.05763,2.63783,2.34118,0.00357,9.26113e-05,9.26113e-05,9.26113e-05
76,515.724,1.66605,1.38915,0.00205,0.28238,0.3864,0.21432,0.05561,2.70491,2.36906,0.00366,9.24161e-05,9.24161e-05,9.24161e-05
